lichaam;2;1.9;2=-8.75 5=-12.56
que;2;1.81;2=-6.85 3=-9.89 5=-11.17
schimmel;2;1.8;2=-6.93 3=-7.59 4=-8.83 5=-11.64
smerig;2;1.77;2=-7.25 3=-8.05 4=-9.69 5=-11.87
deken;2;1.76;2=-8.34 5=-11.87
arrogant;3;1.76;3=-9.05 5=-12.56
vieze;2;1.74;2=-6.99 3=-7.9 4=-8.83 5=-11.64
1-persoonskamer;2;1.7;2=-8.75 5=-12.15
stank;2;1.65;2=-8.93 3=-9.2 5=-12.56
rioollucht;2;1.61;2=-8.93 5=-12.15
hok;3;1.57;3=-9.05 2=-9.44 5=-12.56
muis;2;1.56;2=-9.44 5=-12.56
kozijnen;2;1.56;2=-9.44 5=-12.56
presenteren;2;1.56;2=-9.44 5=-12.56
verandering;2;1.56;2=-9.44 5=-12.56
spare;2;1.56;2=-9.44 5=-12.56
schrokken;2;1.56;2=-9.44 5=-12.56
volwassene;2;1.56;2=-9.44 5=-12.56
par;3;1.55;3=-9.05 5=-12.15
klacht;3;1.55;3=-8.28 2=-8.6 4=-8.99 5=-12.15
y;2;1.55;2=-7.36 3=-9.89 4=-10.99 5=-11.31
del;2;1.54;2=-7.98 4=-10.99 5=-11.46
stinkt;2;1.53;2=-8.93 3=-9.89 5=-12.56
onvriendelijk;2;1.53;2=-6.99 3=-8.05 4=-9.45 5=-11.06
krakende;3;1.52;3=-8.91 4=-11.39 5=-12.56
teleurstellend;3;1.49;3=-8.69 2=-9.16 4=-10.0 5=-12.56
creditcard;4;1.48;4=-9.6 5=-12.56
vochtig;2;1.48;2=-8.75 3=-9.2 4=-10.47 5=-12.56
zgn;3;1.48;3=-9.61 5=-12.56
gebaseerd;3;1.48;3=-9.61 5=-12.56
avant;3;1.48;3=-9.61 5=-12.56
²;3;1.48;3=-9.61 5=-12.56
kwalificatie;3;1.48;3=-9.61 5=-12.56
sloten;3;1.48;3=-9.61 5=-12.56
verschrikkelijk;2;1.47;2=-7.71 3=-8.91 4=-10.29 5=-11.64
el;2;1.47;2=-7.83 5=-10.77
ontbijtservice;2;1.47;2=-8.93 5=-11.87
zwarte;2;1.47;2=-8.93 3=-9.2 4=-10.99 5=-12.56
kip;2;1.46;2=-9.16 3=-9.89 5=-12.56
pot;2;1.46;2=-9.16 3=-9.89 5=-12.56
vuil;2;1.45;2=-7.6 3=-9.05 4=-9.69 5=-11.64
armoedig;3;1.44;3=-9.05 4=-10.47 5=-12.56
lamp;3;1.44;3=-9.05 4=-10.47 5=-12.56
erger;2;1.42;2=-8.6 3=-10.3 4=-10.99 5=-12.56
serieus;2;1.41;2=-9.16 4=-10.29 5=-12.56
verkocht;2;1.41;2=-9.16 4=-11.39 5=-12.56
ververst;2;1.41;2=-9.16 4=-11.39 5=-12.56
poetsen;2;1.41;2=-9.16 4=-11.39 5=-12.56
vlekken;2;1.41;2=-7.9 4=-8.95 3=-10.3 5=-11.64
stoffig;3;1.4;3=-8.8 2=-9.85 5=-12.15
vies;2;1.4;2=-6.69 3=-7.25 4=-8.3 5=-10.36
stinken;2;1.4;2=-8.6 4=-11.39
confituur;2;1.4;2=-8.75 3=-9.38 4=-11.39 5=-12.15
tenzij;3;1.39;3=-8.91 2=-9.44 4=-10.47 5=-12.56
douchewater;3;1.39;3=-9.2 4=-11.39 5=-12.56
fakat;2;1.39;2=-9.16 4=-10.99 5=-12.56
la;2;1.39;2=-7.08 5=-8.77 3=-8.8 4=-10.99
many;3;1.39;3=-9.38 5=-12.15
total;3;1.39;3=-9.38 5=-12.15
fouten;3;1.39;3=-9.38 5=-12.15
ziggo;3;1.37;3=-9.2 4=-10.99 5=-12.56
nee;2;1.36;2=-8.34 3=-8.8 4=-9.78 5=-11.87
k;2;1.36;2=-9.16 5=-11.87
“;2;1.36;2=-9.16 5=-11.87
”;2;1.36;2=-9.16 5=-11.87
opklapbed;2;1.36;2=-9.44 5=-12.15
roosteren;2;1.36;2=-9.44 5=-12.15
ηταν;2;1.36;2=-9.44 5=-12.15
zijde;2;1.36;2=-9.44 5=-12.15
misleiden;2;1.36;2=-9.44 5=-12.15
vanalles;2;1.36;2=-9.44 5=-12.15
kachel;2;1.36;2=-9.85 5=-12.56
hoeken;2;1.36;2=-9.85 5=-12.56
vettig;2;1.36;2=-9.85 5=-12.56
maalesef;2;1.36;2=-9.85 5=-12.56
travel;2;1.36;2=-9.85 5=-12.56
years;2;1.36;2=-9.85 5=-12.56
doorgeven;2;1.36;2=-9.85 5=-12.56
notre;2;1.36;2=-9.85 5=-12.56
onwijs;2;1.36;2=-9.85 5=-12.56
order;2;1.36;2=-9.85 5=-12.56
bedlinnen;2;1.36;2=-9.85 5=-12.56
waardeloze;2;1.36;2=-9.85 5=-12.56
